0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47
79,94,91,87,88,77,82,92,89,90,92,98,101,100,96,95,97,97,97,91,97,99,100,97,96,95,100,96,86,89,90,90,88,92,93,96,98,94,95,93,95,95,92,92,92,97,92,96
76,89,92,92,88,81,83,96,92,92,93,96,98,98,94,92,91,92,90,88,93,95,99,92,96,97,97,95,85,81,87,88,90,95,94,95,96,96,93,93,92,90,89,89,91,94,88,93
87,94,95,95,94,93,99,107,103,103,107,110,110,110,110,108,108,109,108,108,108,110,108,102,103,102,103,103,98,93,107,110,102,96,97,99,99,99,94,95,94,102,106,108,104,106,99,94
85,93,95,93,89,94,92,100,98,98,103,106,108,108,105,104,104,103,100,99,100,100,101,96,97,100,100,102,99,92,100,102,98,92,89,94,92,94,89,92,91,93,94,95,95,92,90,92
93,95,97,95,94,94,96,107,107,109,110,110,110,110,110,110,110,110,110,110,109,108,103,103,98,101,101,102,101,100,108,109,109,108,108,110,109,109,108,109,110,105,106,106,105,102,96,95
92,96,99,96,99,98,97,104,108,109,110,110,110,110,110,110,110,110,110,110,109,107,103,99,92,100,101,102,103,102,105,107,106,105,106,107,107,108,107,108,109,104,103,95,102,100,96,92
98,96,98,98,102,104,106,110,110,110,110,110,110,110,110,110,110,110,110,110,110,109,107,103,98,101,102,103,103,104,107,110,107,107,108,106,107,110,109,109,109,108,103,105,104,102,97,92
100,97,97,98,101,104,103,109,110,110,110,110,110,110,110,110,110,110,110,110,110,109,106,105,97,100,101,103,104,104,107,107,107,106,108,108,106,109,108,109,108,109,101,107,101,102,99,98
100,101,101,104,104,105,105,110,110,110,110,110,110,110,110,110,110,110,110,110,110,109,106,103,100,96,101,102,100,104,109,109,105,105,107,108,108,109,109,108,108,109,104,106,104,103,95,96
100,104,104,106,107,108,109,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,108,109,104,98,102,101,100,106,107,110,107,107,109,110,110,109,109,109,109,110,106,108,107,105,97,102
99,105,103,104,103,105,109,110,110,110,110,110,110,110,110,109,110,109,110,110,110,110,108,107,103,99,99,101,100,106,103,109,107,105,107,108,108,107,107,108,109,109,104,107,103,101,96,101
101,100,103,104,104,106,109,110,110,110,109,110,110,110,108,107,109,108,110,110,110,110,109,107,104,99,98,100,101,106,104,108,108,106,108,109,109,108,109,109,109,109,107,106,106,101,95,103
97,95,101,103,101,103,106,106,109,107,106,108,108,108,103,103,105,104,107,108,108,108,107,106,104,98,101,101,105,107,107,109,108,104,105,107,108,107,106,107,107,106,104,102,105,97,95,101
95,95,98,97,97,94,97,104,109,109,108,108,109,109,105,82,25,79,109,109,109,108,109,105,105,99,100,101,104,103,107,109,108,106,107,72,73,73,72,72,72,72,69,67,70,65,47,66
86,92,97,93,93,85,88,98,107,103,105,105,106,105,78,31,30,42,101,105,106,108,107,106,104,98,97,95,102,103,107,107,102,98,97,58,59,59,58,60,58,59,61,57,62,57,31,57
96,99,97,95,99,91,94,108,110,110,110,110,110,110,104,88,99,98,107,110,110,110,110,109,104,99,101,100,101,108,110,110,110,107,108,107,108,110,109,110,109,107,106,104,106,102,95,101
101,102,99,95,101,92,99,110,110,110,110,110,110,110,110,110,109,106,107,110,110,110,110,109,105,101,100,99,99,107,109,109,109,108,107,107,108,110,109,110,110,108,109,105,106,104,101,101
102,103,101,97,100,93,101,110,110,110,109,110,110,110,110,110,109,103,104,110,110,110,110,108,105,101,97,96,97,106,108,109,108,105,103,106,106,110,109,109,109,107,108,103,102,102,98,99
105,104,103,101,102,101,105,109,110,110,110,110,110,110,110,110,110,107,106,110,110,110,110,109,104,102,102,100,102,105,108,109,108,107,105,106,107,110,109,109,110,107,107,105,106,104,104,100
106,103,103,103,105,105,106,110,110,110,109,109,110,110,110,110,110,105,103,110,110,110,110,109,102,103,99,97,99,105,107,110,109,107,104,105,107,110,109,110,110,108,107,106,104,103,102,95
107,105,102,103,106,107,108,110,110,110,108,55,73,102,110,110,110,106,102,109,109,109,109,109,108,105,102,102,104,107,109,109,109,108,107,106,107,109,109,109,110,108,107,107,108,105,106,101
109,106,103,102,105,106,106,110,110,108,95,59,84,107,107,106,107,101,98,103,105,106,108,108,107,106,102,100,99,105,107,107,105,105,103,104,103,105,105,107,108,106,105,107,106,104,104,99
109,107,104,104,104,105,107,110,110,110,103,66,60,63,85,86,103,102,99,103,107,107,110,110,108,106,102,99,102,107,109,109,109,107,106,108,101,105,108,108,110,109,105,108,107,104,107,103
110,108,106,103,99,101,106,110,110,108,76,29,33,33,32,44,64,97,97,100,102,106,109,110,109,108,102,101,96,107,106,108,107,108,104,93,33,87,43,73,105,107,105,108,103,100,103,98
109,107,102,103,104,107,108,110,110,107,104,106,102,87,87,82,76,76,90,103,104,106,108,110,109,107,103,105,102,109,107,108,108,106,105,108,106,104,109,104,106,106,104,106,100,92,94,95
109,106,100,102,105,109,109,110,110,109,94,70,42,26,20,14,12,11,14,33,75,103,108,110,108,105,104,100,101,108,108,110,108,106,106,107,107,104,108,86,85,107,107,108,109,108,109,106
101,104,101,101,102,102,103,107,108,103,71,32,31,27,22,20,18,17,19,18,25,67,97,107,104,104,98,94,93,97,100,103,100,93,90,95,97,87,93,95,82,90,99,101,102,102,103,102
87,93,84,84,83,99,106,109,110,104,76,47,52,46,39,45,35,35,32,33,36,42,75,107,107,105,94,88,84,75,92,107,105,98,95,95,100,98,95,84,45,51,96,100,100,102,101,101
105,103,98,103,99,103,108,110,110,108,100,94,93,51,31,64,31,30,38,41,56,68,86,103,104,106,97,98,93,96,102,108,107,102,100,100,100,101,99,91,84,56,75,85,86,105,87,106
108,110,107,108,107,106,109,110,110,110,103,97,101,74,39,37,34,26,38,40,46,61,89,110,109,108,100,98,95,100,102,109,109,105,102,102,105,100,100,90,61,30,39,64,105,108,108,109
109,109,108,106,108,107,108,110,110,110,106,103,105,101,94,80,75,76,90,89,88,88,94,110,109,108,102,102,99,100,103,108,109,105,104,101,104,98,97,87,83,79,79,85,105,108,108,109
98,98,93,96,95,94,98,100,100,100,97,82,84,92,74,41,39,42,69,78,79,80,87,98,98,96,91,83,74,93,95,100,100,96,94,92,94,92,88,68,56,48,53,61,95,97,98,98
100,100,100,100,99,97,100,100,100,100,96,45,79,91,86,48,73,74,74,77,76,77,85,100,100,100,99,96,97,98,97,100,100,95,93,91,93,90,84,83,75,71,73,74,82,95,83,100
83,85,88,88,82,81,80,89,89,86,79,82,77,77,75,65,55,61,60,69,65,67,70,82,82,89,92,88,90,76,70,78,80,78,77,76,76,75,72,70,50,29,54,52,59,76,60,77
92,94,93,84,85,88,88,95,97,94,89,90,86,88,85,78,69,73,71,79,76,77,80,92,90,91,91,85,95,84,80,87,89,87,85,84,84,84,82,80,64,44,65,65,71,86,72,88
96,97,96,96,91,93,92,97,99,97,94,94,91,93,90,84,77,79,77,84,81,82,86,96,93,95,95,92,94,88,85,92,94,92,90,89,89,89,87,85,71,52,70,71,76,91,78,92
100,100,99,98,99,99,100,100,100,100,98,100,100,100,100,100,100,100,100,100,100,100,100,100,100,99,96,95,99,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
98,98,98,98,97,97,97,99,99,98,95,98,97,96,97,95,96,90,92,92,92,94,96,98,97,98,95,90,93,96,94,96,96,97,96,95,96,95,95,95,95,94,90,92,93,96,93,98
98,101,101,101,99,99,98,98,97,86,72,70,70,61,74,68,65,52,64,70,66,67,73,95,100,99,99,100,98,95,71,61,51,67,69,74,61,56,69,72,61,47,65,45,52,91,61,98
